task_id,case_id,task_description,assigned_to,due_date,completed
1,1074,Trade behind sense billion paper whom according.,Leah Lucas,2025-05-25,No
2,1075,Table already executive season organization imagine section.,Rita Richardson,2025-07-17,Yes
3,1061,Meeting while receive concern carry life.,Karen Gray,2025-06-26,No
4,1058,Watch wonder stop leave.,Denise Johnson,2025-06-24,No
5,1037,Question win begin financial.,Sonya Horton,2025-06-30,Yes
6,1013,Son remember summer many scientist this executive.,Rhonda Thompson,2025-07-14,Yes
7,1031,Computer cultural foot current.,Zachary Mann,2025-07-30,No
8,1175,Staff indicate nature certain project director so.,Paul Smith,2025-05-25,No
9,1165,Health true hit former spend wear door.,Cindy Ellis,2025-07-15,No
10,1091,Field modern too whatever.,Anna Thompson MD,2025-07-05,No
11,1174,Have million control beyond thought sell when read.,Julie Holt,2025-05-25,Yes
12,1054,Star thus bad avoid live computer.,Guy Ramos,2025-07-10,Yes
13,1178,About bit possible.,Rachel Johnson,2025-06-18,Yes
14,1078,Build success upon miss act.,Jessica Conley,2025-06-20,No
15,1059,Create play and week single hotel.,Ernest Brown,2025-06-30,Yes
16,1037,But oil join serve here fire enough.,Travis Ayers,2025-06-27,No
17,1129,Condition staff admit pick.,John Mckee,2025-08-12,Yes
18,1078,May case early role.,Caroline Torres,2025-07-26,Yes
19,1116,Never woman force street early American yes.,John Bond,2025-07-11,No
20,1014,Help politics look likely send.,Carlos Barnes,2025-06-29,No
21,1087,By money rate beat.,Karen Gray,2025-07-01,Yes
22,1021,Heart for yourself fish above series performance.,Kevin Murray,2025-05-31,No
23,1059,Tend know every lead tend.,Kimberly Reed,2025-08-03,No
24,1182,Check image should gas history interesting as.,Kristin Smith,2025-07-21,Yes
25,1013,Direction need responsibility too detail two age.,Ryan Melendez,2025-08-01,No
26,1146,Far stay manage big hope responsibility owner.,Paul Smith,2025-07-07,No
27,1008,Develop current nearly return.,Megan Williams,2025-08-06,No
28,1081,Half check leg executive computer agreement know.,Michael Guerrero,2025-06-13,Yes
29,1166,Option then industry cultural company expect though.,Guy Ramos,2025-08-09,No
30,1081,Buy address however individual foot hear.,Evan Sanders,2025-08-13,No
31,1170,Mission half cost in on action recently.,Jennifer Brooks,2025-05-29,No
32,1050,National middle dark city line data power second.,Jennifer Brooks,2025-08-11,Yes
33,1136,Your money discover respond.,John Higgins,2025-08-12,No
34,1092,Trouble prepare road page traditional black once practice.,Mary Ayala,2025-07-09,Yes
35,1002,Control answer study.,Joshua Baker,2025-07-18,No
36,1045,Trial off the.,David Miller,2025-07-20,No
37,1180,Research check require.,Shawn Jensen,2025-06-25,Yes
38,1059,Policy issue pressure paper threat my owner.,Jordan Holland,2025-07-30,Yes
39,1089,Mean group entire discuss.,Harold Brown,2025-08-16,Yes
40,1116,Both world team strategy.,Pamela Grant,2025-05-23,Yes
41,1120,Attorney within write would exist.,Patricia Cervantes,2025-05-30,Yes
42,1091,Card wear such trade right speak security magazine.,Kevin Murray,2025-06-16,Yes
43,1175,Its myself ask wide dog rather.,William Hendrix,2025-07-06,Yes
44,1093,American benefit catch fact old.,Samuel York,2025-07-31,No
45,1178,Manage they major return campaign.,Jack Garner,2025-07-27,Yes
46,1114,Experience anything condition door thousand involve.,Mary Ayala,2025-06-08,No
47,1161,Recognize baby because research never feeling director yourself.,John Bond,2025-06-05,Yes
48,1101,Into cultural food option positive.,Patrick Martinez,2025-08-10,No
49,1199,Else break study deal not region really.,Ernest Brown,2025-05-29,Yes
50,1022,Free manage specific culture live total another.,Morgan Stephens,2025-05-28,Yes
51,1065,Money establish play phone while evening discuss decide.,Kristin Smith,2025-06-11,Yes
52,1048,Decide likely else should collection enjoy wide.,Samuel Simon,2025-08-08,Yes
53,1032,Thing traditional ahead stuff.,Dwayne Klein,2025-05-29,No
54,1181,Total pass state forward dog.,Michael Avila,2025-06-25,No
55,1133,Run threat radio something.,Valerie Evans,2025-06-28,No
56,1001,Could approach will black red sort white once.,Anna Thompson MD,2025-07-13,No
57,1108,Score hit you of glass me.,Helen Smith,2025-06-16,Yes
58,1124,Project north face PM focus impact.,Jean Fisher,2025-06-05,Yes
59,1180,Full five cultural responsibility raise main.,Jessica Conley,2025-05-29,Yes
60,1132,Which painting language.,Patrick Martinez,2025-06-17,Yes
61,1044,Federal kind evidence conference.,Ernest Brown,2025-08-05,No
62,1122,Compare bed whose fine.,Mackenzie Thomas,2025-07-24,Yes
63,1094,Upon social including to.,Steven James,2025-08-01,No
64,1156,Church ability push century.,Patricia Cervantes,2025-07-24,No
65,1161,Data under magazine camera.,Tammie Moore,2025-06-27,Yes
66,1100,Four second energy as pattern security.,Sarah Underwood,2025-06-25,Yes
67,1051,Personal reduce career ability technology year clear.,Patrick Serrano,2025-06-29,Yes
68,1180,Nothing parent structure truth.,Bethany Lee,2025-07-12,No
69,1077,Conference soldier story personal author baby.,Dwayne Klein,2025-05-30,Yes
70,1117,Force later director approach water defense herself.,Brandon Kim,2025-08-12,No
71,1185,Certainly money director design film take off.,Carmen Higgins,2025-07-09,No
